Thrust (N),Watts (w),Ve (m/s)
2.54,151.43,12.73
2.55,151.81,12.74
2.55,152.19,12.76
2.56,152.58,12.77
2.57,152.96,12.79
2.57,153.35,12.8
2.58,153.73,12.82
2.59,154.12,12.84
2.59,154.51,12.85
2.6,154.9,12.87
2.6,155.29,12.88
2.61,155.68,12.9
2.61,156.07,12.91
2.62,156.46,12.93
2.63,156.86,12.95
2.63,157.25,12.96
2.64,157.65,12.98
2.65,158.05,12.99
2.66,158.45,13.01
2.66,158.84,13.02
2.67,159.24,13.04
2.67,159.65,13.05
2.68,160.05,13.07
2.69,160.45,13.09
2.69,160.86,13.1
2.7,161.26,13.12
2.7,161.67,13.13
2.71,162.07,13.15
2.72,162.48,13.16
2.73,162.89,13.18
2.73,163.3,13.2
2.74,163.71,13.21
2.75,164.13,13.23
2.75,164.54,13.24
2.76,164.95,13.26
2.76,165.37,13.27
2.77,165.79,13.29
2.78,166.2,13.31
2.78,166.62,13.32
2.79,167.04,13.34
2.8,167.46,13.35
2.8,167.89,13.37
2.81,168.31,13.38
2.82,168.73,13.4
2.82,169.16,13.41
2.83,169.58,13.43
2.84,170.01,13.45
2.84,170.44,13.46
2.85,170.87,13.48
2.85,171.3,13.49
2.86,171.73,13.51
2.87,172.16,13.52
2.88,172.6,13.54
2.88,173.03,13.56
2.89,173.47,13.57
2.9,173.91,13.59
2.9,174.34,13.6
2.91,174.78,13.62
2.91,175.22,13.63
2.92,175.66,13.65
2.93,176.11,13.66
2.94,176.55,13.68
2.94,177.0,13.7
2.95,177.44,13.71
2.96,177.89,13.73
2.96,178.34,13.74
2.97,178.79,13.76
2.97,179.24,13.77
2.98,179.69,13.79
2.99,180.14,13.81
3.0,180.6,13.82
3.0,181.05,13.84
3.01,181.51,13.85
3.02,181.96,13.87
3.02,182.42,13.88
3.03,182.88,13.9
3.04,183.34,13.91
3.04,183.8,13.93
3.05,184.27,13.95
3.06,184.73,13.96
3.07,185.2,13.98
3.07,185.66,13.99
3.08,186.13,14.01
3.08,186.6,14.02
3.09,187.07,14.04
3.1,187.54,14.06
3.11,188.01,14.07
3.11,188.49,14.09
3.12,188.96,14.1
3.13,189.44,14.12
3.13,189.92,14.13
3.14,190.4,14.15
3.15,190.87,14.16
3.15,191.36,14.18
3.16,191.84,14.2
